Clínica médica
;None;None;11338;11333
;None;None;57743;58183
;None;None;11207;11211
;None;None;3235;3260
;None;None;13839;13827
;None;None;4876;4854
;None;None;14143;14365
;None;None;11908;11909
;None;None;7221;7237
;None;None;36257;36323
;None;None;27176;27401
;None;None;14176;14307
;None;None;9742;9768
;None;None;9247;9309
;None;None;27667;28085
;None;None;4065;4064
;None;None;5493;5527
;None;None;2332;2307
;None;None;10185;10254
;None;None;12616;12720
;None;None;6606;6624
;None;None;3645;3680
;None;None;67747;68222
;None;None;11156;11244
;None;None;33949;34267
;None;None;20636;20707
;None;None;8117;8188
;None;None;10592;10715
;None;None;73370;73849
;None;None;11331;11344
;None;None;5590;5593
;None;None;4972;4980
;None;None;8155;8147
;None;None;45060;45228
;None;None;7187;7190
;None;None;248623;254709
;None;None;5630;5666
;None;None;6103;6119
;None;None;10714;10702
;None;None;27933;28331
;None;None;6033;6052
;None;None;3055;3072
;None;None;9258;9262
;None;None;2899;2890
;None;None;4204;4180
;None;None;2650;2715
;None;None;25685;26068
;None;None;13103;13157
;None;None;10293;10386
;None;None;14975;15309
;None;None;13559;13714
;None;None;15308;15464
;None;None;2236;2251
;None;None;7515;7571
;None;None;5904;5930
;None;None;8949;9068
;None;None;6920;6942
;None;None;5402;5386
;None;None;9989;10096
;None;None;5306;5247
;None;None;2666;2663
;None;None;14734;14858
;None;None;12566;12579
;None;None;34839;35087
;None;None;2693;2695
;None;None;6050;6050
;None;None;18490;18530
;None;None;3881;3910
;None;None;6743;6793
;None;None;7529;7579
;None;None;2768;2771
;None;None;15434;15590
;None;None;8206;8269
;None;None;11234;11316
;None;None;4813;4822
;None;None;3968;4002
;None;None;10171;10211
;None;None;79211;80031
;None;None;31592;31859
;None;None;3955;4002
;None;None;8495;8492
;None;None;8750;8793
;None;None;12030;12223
;None;None;4569;4608
;None;None;11537;11503
;None;None;22311;22462
;None;None;2198;2178
;None;None;291937;295619
;None;None;877662;885180
;None;None;26994;27372
;None;None;37547;37695
;None;None;4359;4349
;None;None;4877;4882
;None;None;4249;4276
;None;None;3875;3859
;None;None;5215;5258
;None;None;21577;21669
;None;None;10830;10901
;None;None;12880;13099
;None;None;3092;3109
;None;None;12776;12844
;None;None;5422;5500
;None;None;30206;30452
;None;None;3392;3356
;None;None;2550;2532
;None;None;6998;6938
;None;None;14900;14954
;None;None;14919;15083
;None;None;3799;3836
;None;None;15280;15418
;None;None;7861;7909
;None;None;6691;6789
;None;None;9958;10099
;None;None;9451;9568
;None;None;5078;5115
;None;None;3224;3234
;None;None;3526;3566
;None;None;4278;4277
;None;None;7970;8075
;None;None;4546;4545
;None;None;4060;4100
;None;None;3673;3669
;None;None;39300;39667
;None;None;13445;13289
;None;None;2688;2701
;None;None;24045;24220
;None;None;2875;2846
;None;None;4372;4425
;None;None;3603;3617
;None;None;4206;4238
;None;None;99724;101492
;None;None;6240;6260
;None;None;43598;43995
;None;None;12971;13007
;None;None;4605;4643
;None;None;23444;23610
;None;None;9518;9606
;None;None;17407;17572
;None;None;6177;6139
;None;None;8345;8343
;None;None;11214;11223
;None;None;6435;6469
;None;None;6138;6188
;None;None;4373;4423
;None;None;5877;5870
;None;None;11675;11838
;None;None;8152;8175
;None;None;6470;6422
;None;None;4819;4841
;None;None;3517;3150
;None;None;5481;5528
;None;None;2542;2566
;None;None;12398;12428
;None;None;15700;15866
;None;None;10731;10814
;None;None;5835;5912
;None;None;13609;13895
;None;None;2428;2437
;None;None;33778;34043
;None;None;3346;3327
;None;None;10808;10781
;None;None;14448;14609
;None;None;5534;5554
;None;None;4154;4187
;None;None;12196;12371
;None;None;1722;1731
;None;None;3145;3173
