municipio;valor
2408300;0
2408300;0
2408300;0
2408300;0
2408409;0
2408409;3
2408409;0
2408409;0
2408409;0
2408409;0
2408508;0
2408508;0
2408508;0
2408508;0
2408508;0
2408508;0
2408607;0
2408607;0
2408607;0
2408607;0
2408607;0
2408607;0
2408706;0
2408706;3
2408706;0
2408706;3
2408706;0
2408706;0
2408805;0
2408805;0
2408805;0
2408805;0
2408805;0
2408805;0
2408904;0
2408904;10
2408904;0
2408904;0
2408904;0
2408904;0
2408953;0
2408953;0
2408953;0
2408953;0
2408953;0
2408953;0
2409100;0
2409100;0
2409100;0
2409100;0
2409100;0
2409100;0
2409209;0
2409209;0
2409209;0
2409209;0
2409209;0
2409209;0
2409308;0
2409308;19
2409308;0
2409308;5
2409308;0
2409308;0
2409332;0
2409332;0
2409332;0
2409332;0
2409332;0
2409332;0
2409407;0
2409407;180
2409407;0
2409407;19
2409407;10
2409407;0
2409506;0
2409506;0
2409506;0
2409506;0
2409506;0
2409506;0
2409605;0
2409605;0
2409605;0
2409605;0
2409605;0
2409605;0
2409704;0
2409704;2
2409704;0
2409704;8
2409704;0
2409704;0
2409803;0
2409803;4
2409803;0
2409803;4
2409803;0
2409803;0
2409902;0
2409902;16
2409902;0
2409902;12
2409902;0
2409902;0
2410009;0
2410009;0
2410009;0
2410009;0
2410009;0
2410009;0
2410108;0
2410108;11
2410108;0
2410108;23
2410108;0
2410108;0
2410207;0
2410207;17
2410207;0
2410207;0
2410207;0
2410207;0
2410256;0
2410256;13
2410256;0
2410256;0
2410256;0
2410256;0
2410306;0
2410306;8
2410306;0
2410306;4
2410306;0
2410306;0
2410405;0
2410405;0
2410405;0
2410405;0
2410405;0
2410405;0
2410504;0
2410504;6
2410504;0
2410504;0
2410504;0
2410504;0
2410603;0
2410603;0
2410603;0
2410603;0
2410603;0
2410603;0
2410702;0
2410702;3
2410702;0
2410702;0
2410702;0
2410702;0
2410801;0
2410801;0
2410801;0
2410801;0
2410801;0
2410801;0
2410900;0
2410900;10
2410900;0
2410900;7
2410900;0
2410900;0
2411007;0
2411007;0
2411007;0
2411007;0
2411007;0
2411007;0
2411056;0
2411056;8
2411056;0
2411056;5
2411056;5
2411056;0
2411106;0
2411106;0
2411106;0
2411106;0
2411106;0
2411106;0
2411205;0
2411205;10
2411205;0
2411205;0
2411205;0
2411205;0
2411403;0
2411403;0
2411403;0
2411403;0
2411403;0
2411403;0
2411429;0
2411429;0
2411429;0
2411429;0
2411429;0
2411429;0
2411502;0
2411502;37
2411502;0
2411502;12
2411502;12
2411502;0
2411601;3
2411601;3
2411601;0
2411601;0
2411601;0
2411601;0
2411700;0
2411700;0
2411700;0
2411700;0
2411700;0
2411700;0
2411809;0
2411809;0
2411809;0
2411809;0
2411809;0
2411809;0
2411908;0
2411908;0
2411908;0
2411908;0
2411908;0
2411908;0
2412005;0
2412005;49
2412005;0
2412005;26
2412005;0
2412005;0
2412104;0
2412104;3
2412104;0
2412104;14
2412104;0
2412104;0
2412203;0
2412203;65
2412203;0
2412203;36
2412203;0
2412203;0
2412302;0
2412302;11
2412302;0
2412302;0
2412302;0
2412302;0
2412401;0
2412401;0
2412401;0
2412401;0
2412401;0
2412401;0
2412500;0
2412500;17
2412500;0
2412500;8
2412500;0
2412500;0
2412559;0
2412559;0
2412559;0
2412559;0
2412559;0
2412559;0
2412609;0
2412609;0
2412609;0
2412609;0
2412609;0
2412609;0
2412708;0
2412708;0
2412708;0
2412708;13
2412708;0
2412708;0
2412807;0
2412807;15
2412807;0
2412807;24
2412807;0
2412807;0
2412906;0
2412906;6
2412906;0
2412906;7
2412906;0
2412906;0
2413003;0
2413003;18
2413003;0
2413003;6
2413003;0
2413003;0
2413102;0
2413102;0
2413102;0
2413102;0
2413102;0
2413102;0
2413201;0
2413201;0
2413201;0
2413201;0
2413201;0
2413201;0
2413300;0
2413300;0
2413300;0
2413300;6
2413300;0
2413300;0
2413359;0
2413359;22
2413359;0
2413359;0
2413359;0
2413359;0
2413409;0
2413409;7
2413409;0
2413409;0
2413409;0
2413409;0
2413508;0
2413508;0
2413508;0
2413508;0
2413508;0
2413508;0
2413557;0
2413557;0
2413557;0
2413557;0
2413557;0
2413557;0
2413607;0
2413607;14
2413607;0
2413607;0
2413607;0
2413607;0
2413706;0
2413706;0
2413706;0
2413706;0
2413706;0
2413706;0
2413805;0
2413805;0
2413805;0
2413805;0
2413805;0
2413805;0
2413904;0
2413904;0
2413904;0
2413904;0
2413904;0
2413904;0
2414001;0
2414001;15
2414001;0
2414001;5
2414001;0
2414001;0
2414100;0
2414100;0
2414100;0
2414100;0
2414100;0
2414100;0
2414159;0
2414159;0
2414159;0
2414159;0
2414159;0
2414159;0
2414209;0
2414209;11
2414209;0
2414209;47
2414209;0
2414209;0
2414308;0
2414308;0
2414308;0
2414308;0
2414308;0
2414308;0
2414407;0
2414407;0
2414407;0
2414407;0
2414407;0
2414407;0
2414456;0
2414456;4
2414456;0
2414456;0
2414456;0
2414456;0
2414506;0
2414506;0
2414506;0
2414506;0
2414506;0
2414506;0
2414605;0
2414605;0
2414605;0
2414605;0
2414605;0
2414605;0
2414704;0
2414704;0
2414704;0
2414704;0
2414704;0
2414704;0
2414753;0
2414753;0
2414753;0
2414753;0
2414753;0
2414753;0
2414803;0
2414803;4
2414803;0
2414803;0
2414803;0
2414803;0
2414902;0
2414902;0
2414902;0
2414902;1
2414902;0
2414902;0
2415008;0
2415008;2
2415008;0
2415008;2
2415008;0
2415008;0
