municipio;valor
2400109;0
2400109;30
2400109;0
2400109;4
2400109;0
2400109;0
2400208;0
2400208;143
2400208;0
2400208;141
2400208;0
2400208;0
2400307;0
2400307;0
2400307;0
2400307;0
2400307;0
2400307;0
2400406;0
2400406;0
2400406;0
2400406;0
2400406;0
2400406;0
2400505;0
2400505;23
2400505;0
2400505;9
2400505;0
2400505;0
2400604;0
2400604;16
2400604;0
2400604;0
2400604;0
2400604;0
2400703;0
2400703;25
2400703;0
2400703;5
2400703;0
2400703;0
2400802;0
2400802;0
2400802;0
2400802;10
2400802;0
2400802;0
2400901;0
2400901;0
2400901;0
2400901;0
2400901;0
2400901;0
2401008;0
2401008;41
2401008;0
2401008;35
2401008;0
2401008;0
2401107;0
2401107;11
2401107;0
2401107;22
2401107;0
2401107;0
2401206;0
2401206;29
2401206;0
2401206;0
2401206;0
2401206;0
2401305;0
2401305;19
2401305;0
2401305;36
2401305;0
2401305;0
2401404;0
2401404;0
2401404;0
2401404;0
2401404;0
2401404;0
2401453;0
2401453;0
2401453;0
2401453;0
2401453;0
2401453;0
2401503;0
2401503;0
2401503;0
2401503;0
2401503;0
2401503;0
2401602;0
2401602;0
2401602;0
2401602;0
2401602;0
2401602;0
2401651;0
2401651;0
2401651;0
2401651;0
2401651;0
2401651;0
2401701;0
2401701;0
2401701;0
2401701;10
2401701;0
2401701;0
2401800;0
2401800;5
2401800;0
2401800;10
2401800;0
2401800;0
2401859;0
2401859;0
2401859;0
2401859;0
2401859;0
2401859;0
2401909;0
2401909;0
2401909;0
2401909;0
2401909;0
2401909;0
2402006;0
2402006;419
2402006;0
2402006;114
2402006;0
2402006;0
2402105;0
2402105;24
2402105;0
2402105;0
2402105;0
2402105;0
2402204;0
2402204;0
2402204;0
2402204;0
2402204;0
2402204;0
2402303;0
2402303;0
2402303;0
2402303;0
2402303;0
2402303;0
2402402;0
2402402;7
2402402;0
2402402;0
2402402;0
2402402;0
2402501;0
2402501;5
2402501;0
2402501;0
2402501;0
2402501;0
2402600;0
2402600;29
2402600;0
2402600;0
2402600;0
2402600;0
