indicador;municipio;ano;resultado
16.1.2.2.2.2.1;2400604;0;0
16.1.2.2.2.2.2;2400604;0;0
16.1.2.2.3.2.1;2400604;0;0
16.1.2.2.3.2.2;2400604;0;0
2.4.3.1.3.2.4;2400604;2010;136
2.4.3.1.3.2.5;2400604;2010;279
3.2.1.1;2400604;2010;95.5
20.4.1.3;2400604;2010;7
1;2400604;2013;-
3.4.1;2400604;2015;None
3.4.2;2400604;2015;None
3.4.3;2400604;2015;None
3.2.1;2400604;2015;4
3.2.2;2400604;2015;2
3.2.3;2400604;2015;99999999999996
3.3.1;2400604;2015;0
3.3.2;2400604;2015;1
3.3.3;2400604;2015;99999999999996
19.1.2.1.1.1;2400604;2010;9.2
19.1.2.1.1.2;2400604;2010;-
19.1.2.2.1.1;2400604;2010;1.7
19.1.2.2.1.2;2400604;2010;80.6
19.1.2.3.1.1;2400604;2010;89.1
19.1.2.3.1.2;2400604;2010;19.5
17.1.2.3.1;2400604;2010;992
17.1.2.3.2;2400604;2010;2
16.1.2.2.1.2.1;2400703;0;0
16.1.2.2.1.2.2;2400703;0;0
16.1.2.2.2.2.1;2400703;0;0
16.1.2.2.2.2.2;2400703;0;0
16.1.2.2.3.2.1;2400703;0;0
16.1.2.2.3.2.2;2400703;0;0
2.4.3.1.3.2.4;2400703;2010;947
2.4.3.1.3.2.5;2400703;2010;710
3.2.1.1;2400703;2010;97.3
20.4.1.3;2400703;2010;10
1;2400703;2013;22.06
3.4.1;2400703;2015;None
3.4.2;2400703;2015;None
3.4.3;2400703;2015;None
3.2.1;2400703;2015;9
3.2.2;2400703;2015;1
3.2.3;2400703;2015;99999999999996
3.3.1;2400703;2015;0
3.3.2;2400703;2015;1
3.3.3;2400703;2015;99999999999996
19.1.2.1.1.1;2400703;2010;9.8
19.1.2.1.1.2;2400703;2010;2.4
19.1.2.2.1.1;2400703;2010;0.2
19.1.2.2.1.2;2400703;2010;5.9
19.1.2.3.1.1;2400703;2010;90.0
19.1.2.3.1.2;2400703;2010;91.8
17.1.2.3.1;2400703;2010;2673
17.1.2.3.2;2400703;2010;3
16.1.2.2.1.2.1;2400802;0;0
16.1.2.2.1.2.2;2400802;0;0
16.1.2.2.2.2.1;2400802;0;0
16.1.2.2.2.2.2;2400802;0;0
16.1.2.2.3.2.1;2400802;0;0
16.1.2.2.3.2.2;2400802;0;0
2.4.3.1.3.2.4;2400802;2010;575
2.4.3.1.3.2.5;2400802;2010;575
3.2.1.1;2400802;2010;96.5
20.4.1.3;2400802;2010;10
1;2400802;2013;7.19
3.4.1;2400802;2015;None
3.4.2;2400802;2015;None
3.4.3;2400802;2015;None
3.2.1;2400802;2015;5
3.2.2;2400802;2015;2
3.2.3;2400802;2015;99999999999996
3.3.1;2400802;2015;0
3.3.2;2400802;2015;1
3.3.3;2400802;2015;99999999999996
19.1.2.1.1.1;2400802;2010;40.0
19.1.2.1.1.2;2400802;2010;-
19.1.2.2.1.1;2400802;2010;1.2
19.1.2.2.1.2;2400802;2010;52.5
19.1.2.3.1.1;2400802;2010;58.9
