indicador;municipio;ano;resultado
1.1.1.2;240880;2009;1
1.1.1.2;240890;2005;1
1.1.1.2;240890;2009;1
1.1.1.2;240895;2005;0
1.1.1.2;240895;2009;0
1.1.1.2;240910;2005;0
1.1.1.2;240910;2009;0
1.1.1.2;240920;2005;0
1.1.1.2;240920;2009;0
1.1.1.2;240930;2005;2
1.1.1.2;240930;2009;1
1.1.1.2;240933;2005;0
1.1.1.2;240933;2009;0
1.1.1.2;240940;2005;2
1.1.1.2;240940;2009;1
1.1.1.2;240950;2005;0
1.1.1.2;240950;2009;1
1.1.1.2;240960;2005;0
1.1.1.2;240960;2009;0
1.1.1.2;240970;2005;0
1.1.1.2;240970;2009;0
1.1.1.2;240980;2005;0
1.1.1.2;240980;2009;0
1.1.1.2;240990;2005;0
1.1.1.2;240990;2009;1
1.1.1.2;241000;2005;0
1.1.1.2;241000;2009;0
1.1.1.2;241010;2005;1
1.1.1.2;241010;2009;0
1.1.1.2;241020;2005;1
1.1.1.2;241020;2009;0
1.1.1.2;241025;2005;0
1.1.1.2;241025;2009;1
1.1.1.2;241030;2005;0
1.1.1.2;241030;2009;0
1.1.1.2;241040;2005;0
1.1.1.2;241040;2009;0
1.1.1.2;241050;2005;0
1.1.1.2;241050;2009;0
1.1.1.2;241060;2005;0
1.1.1.2;241060;2009;0
1.1.1.2;241070;2005;0
1.1.1.2;241070;2009;0
1.1.1.2;241080;2005;0
1.1.1.2;241080;2009;0
1.1.1.2;241090;2005;0
1.1.1.2;241090;2009;0
1.1.1.2;241100;2005;0
1.1.1.2;241100;2009;0
1.1.1.2;241105;2005;1
1.1.1.2;241105;2009;0
1.1.1.2;241110;2005;0
1.1.1.2;241110;2009;0
1.1.1.2;241120;2005;1
1.1.1.2;241120;2009;1
1.1.1.2;241140;2005;0
1.1.1.2;241140;2009;1
1.1.1.2;241142;2005;0
1.1.1.2;241142;2009;1
1.1.1.2;241150;2005;1
1.1.1.2;241150;2009;1
1.1.1.2;241160;2005;0
1.1.1.2;241160;2009;1
1.1.1.2;241170;2005;0
1.1.1.2;241170;2009;0
1.1.1.2;241180;2005;0
1.1.1.2;241180;2009;0
1.1.1.2;241190;2005;0
1.1.1.2;241190;2009;0
1.1.1.2;241200;2005;0
1.1.1.2;241200;2009;0
1.1.1.2;241210;2005;0
1.1.1.2;241210;2009;1
1.1.1.2;241220;2005;1
1.1.1.2;241220;2009;1
1.1.1.2;241230;2005;0
1.1.1.2;241230;2009;0
1.1.1.2;241240;2005;0
1.1.1.2;241240;2009;1
1.1.1.2;241250;2005;0
1.1.1.2;241250;2009;0
1.1.1.2;241255;2005;0
1.1.1.2;241255;2009;0
1.1.1.2;241260;2005;1
1.1.1.2;241260;2009;1
1.1.1.2;241270;2005;0
1.1.1.2;241270;2009;0
1.1.1.2;241280;2005;0
1.1.1.2;241280;2009;1
1.1.1.2;241290;2005;0
1.1.1.2;241290;2009;0
1.1.1.2;241300;2005;0
1.1.1.2;241300;2009;1
1.1.1.2;241310;2005;0
1.1.1.2;241310;2009;0
1.1.1.2;241320;2005;0
1.1.1.2;241320;2009;0
1.1.1.2;241330;2005;0
1.1.1.2;241330;2009;0
1.1.1.2;241335;2005;0
1.1.1.2;241335;2009;1
1.1.1.2;241340;2005;1
1.1.1.2;241340;2009;1
1.1.1.2;241350;2005;0
1.1.1.2;241350;2009;0
1.1.1.2;241355;2005;0
1.1.1.2;241355;2009;0
1.1.1.2;241360;2005;1
1.1.1.2;241360;2009;1
1.1.1.2;241370;2005;0
1.1.1.2;241370;2009;0
1.1.1.2;241380;2005;0
1.1.1.2;241380;2009;0
1.1.1.2;241390;2005;0
1.1.1.2;241390;2009;0
1.1.1.2;241400;2005;0
1.1.1.2;241400;2009;0
1.1.1.2;241410;2005;0
1.1.1.2;241410;2009;1
1.1.1.2;241415;2005;0
1.1.1.2;241415;2009;1
1.1.1.2;241420;2005;0
1.1.1.2;241420;2009;1
1.1.1.2;241430;2005;0
1.1.1.2;241430;2009;0
1.1.1.2;241440;2005;0
1.1.1.2;241440;2009;0
1.1.1.2;241445;2005;0
1.1.1.2;241445;2009;1
1.1.1.2;241450;2005;1
1.1.1.2;241450;2009;0
1.1.1.2;241460;2005;0
1.1.1.2;241460;2009;1
1.1.1.2;241470;2005;0
1.1.1.2;241470;2009;0
1.1.1.2;241475;2005;0
1.1.1.2;241475;2009;0
1.1.1.2;241480;2005;1
1.1.1.2;241480;2009;0
1.1.1.2;241490;2005;0
1.1.1.2;241490;2009;0
1.1.1.2;241500;2005;0
1.1.1.2;241500;2009;0
