indicador;municipio;ano;resultado
1.1.1.3;240380;2010;None
1.1.1.3;240380;2015;None
1.1.1.3;240380;2016;9258
1.1.1.3;240380;2017;9262
1.1.1.3;240390;2010;None
1.1.1.3;240390;2015;None
1.1.1.3;240390;2016;2899
1.1.1.3;240390;2017;2890
1.1.1.3;240400;2010;None
1.1.1.3;240400;2015;None
1.1.1.3;240400;2016;4204
1.1.1.3;240400;2017;4180
1.1.1.3;240410;2010;None
1.1.1.3;240410;2015;None
1.1.1.3;240410;2016;2650
1.1.1.3;240410;2017;2715
1.1.1.3;240420;2010;None
1.1.1.3;240420;2015;None
1.1.1.3;240420;2016;25685
1.1.1.3;240420;2017;26068
1.1.1.3;240430;2010;None
1.1.1.3;240430;2015;None
1.1.1.3;240430;2016;13103
1.1.1.3;240430;2017;13157
1.1.1.3;240440;2010;None
1.1.1.3;240440;2015;None
1.1.1.3;240440;2016;10293
1.1.1.3;240440;2017;10386
1.1.1.3;240450;2010;None
1.1.1.3;240450;2015;None
1.1.1.3;240450;2016;14975
1.1.1.3;240450;2017;15309
1.1.1.3;240460;2010;None
1.1.1.3;240460;2015;None
1.1.1.3;240460;2016;13559
1.1.1.3;240460;2017;13714
1.1.1.3;240470;2010;None
1.1.1.3;240470;2015;None
1.1.1.3;240470;2016;15308
1.1.1.3;240470;2017;15464
1.1.1.3;240480;2010;None
1.1.1.3;240480;2015;None
1.1.1.3;240480;2016;2236
1.1.1.3;240480;2017;2251
1.1.1.3;240485;2010;None
1.1.1.3;240485;2015;None
1.1.1.3;240485;2016;7515
1.1.1.3;240485;2017;7571
1.1.1.3;240490;2010;None
1.1.1.3;240490;2015;None
1.1.1.3;240490;2016;5904
1.1.1.3;240490;2017;5930
1.1.1.3;240500;2010;None
1.1.1.3;240500;2015;None
1.1.1.3;240500;2016;8949
1.1.1.3;240500;2017;9068
1.1.1.3;240510;2010;None
1.1.1.3;240510;2015;None
1.1.1.3;240510;2016;6920
1.1.1.3;240510;2017;6942
1.1.1.3;240520;2010;None
1.1.1.3;240520;2015;None
1.1.1.3;240520;2016;5402
1.1.1.3;240520;2017;5386
1.1.1.3;240530;2010;None
1.1.1.3;240530;2015;None
1.1.1.3;240530;2016;9989
1.1.1.3;240530;2017;10096
1.1.1.3;240540;2010;None
1.1.1.3;240540;2015;None
1.1.1.3;240540;2016;5306
1.1.1.3;240540;2017;5247
1.1.1.3;240550;2010;None
1.1.1.3;240550;2015;None
1.1.1.3;240550;2016;2666
1.1.1.3;240550;2017;2663
1.1.1.3;240560;2010;None
1.1.1.3;240560;2015;None
1.1.1.3;240560;2016;14734
1.1.1.3;240560;2017;14858
1.1.1.3;240570;2010;None
1.1.1.3;240570;2015;None
1.1.1.3;240570;2016;12566
1.1.1.3;240570;2017;12579
1.1.1.3;240580;2010;None
1.1.1.3;240580;2015;None
1.1.1.3;240580;2016;34839
1.1.1.3;240580;2017;35087
1.1.1.3;240590;2010;None
1.1.1.3;240590;2015;None
1.1.1.3;240590;2016;2693
1.1.1.3;240590;2017;2695
1.1.1.3;240600;2010;None
1.1.1.3;240600;2015;None
1.1.1.3;240600;2016;6050
1.1.1.3;240600;2017;6050
1.1.1.3;240610;2010;None
1.1.1.3;240610;2015;None
1.1.1.3;240610;2016;18490
1.1.1.3;240610;2017;18530
1.1.1.3;240615;2010;None
1.1.1.3;240615;2015;None
1.1.1.3;240615;2016;3881
1.1.1.3;240615;2017;3910
1.1.1.3;240620;2010;None
1.1.1.3;240620;2015;None
1.1.1.3;240620;2016;6743
1.1.1.3;240620;2017;6793
1.1.1.3;240630;2010;None
1.1.1.3;240630;2015;None
1.1.1.3;240630;2016;7529
1.1.1.3;240630;2017;7579
1.1.1.3;240640;2010;None
1.1.1.3;240640;2015;None
1.1.1.3;240640;2016;2768
1.1.1.3;240640;2017;2771
1.1.1.3;240650;2010;None
1.1.1.3;240650;2015;None
1.1.1.3;240650;2016;15434
1.1.1.3;240650;2017;15590
1.1.1.3;240660;2010;None
1.1.1.3;240660;2015;None
1.1.1.3;240660;2016;8206
1.1.1.3;240660;2017;8269
1.1.1.3;240670;2010;None
1.1.1.3;240670;2015;None
1.1.1.3;240670;2016;11234
1.1.1.3;240670;2017;11316
1.1.1.3;240680;2010;None
1.1.1.3;240680;2015;None
1.1.1.3;240680;2016;4813
1.1.1.3;240680;2017;4822
1.1.1.3;240690;2010;None
1.1.1.3;240690;2015;None
1.1.1.3;240690;2016;3968
1.1.1.3;240690;2017;4002
1.1.1.3;240700;2010;None
1.1.1.3;240700;2015;None
1.1.1.3;240700;2016;10171
1.1.1.3;240700;2017;10211
1.1.1.3;240710;2010;None
1.1.1.3;240710;2015;None
1.1.1.3;240710;2016;79211
1.1.1.3;240710;2017;80031
1.1.1.3;240720;2010;None
1.1.1.3;240720;2015;None
1.1.1.3;240720;2016;31592
1.1.1.3;240720;2017;31859
1.1.1.3;240725;2010;None
1.1.1.3;240725;2015;None
1.1.1.3;240725;2016;3955
1.1.1.3;240725;2017;4002
1.1.1.3;240730;2010;None
1.1.1.3;240730;2015;None
1.1.1.3;240730;2016;8495
1.1.1.3;240730;2017;8492
1.1.1.3;240740;2010;None
1.1.1.3;240740;2015;None
1.1.1.3;240740;2016;8750
1.1.1.3;240740;2017;8793
1.1.1.3;240750;2010;None
1.1.1.3;240750;2015;None
1.1.1.3;240750;2016;12030
1.1.1.3;240750;2017;12223
1.1.1.3;240760;2010;None
1.1.1.3;240760;2015;None
1.1.1.3;240760;2016;4569
1.1.1.3;240760;2017;4608
1.1.1.3;240770;2010;None
1.1.1.3;240770;2015;None
1.1.1.3;240770;2016;11537
1.1.1.3;240770;2017;11503
1.1.1.3;240780;2010;None
1.1.1.3;240780;2015;None
1.1.1.3;240780;2016;22311
1.1.1.3;240780;2017;22462
1.1.1.3;240790;2010;None
1.1.1.3;240790;2015;None
1.1.1.3;240790;2016;2198
1.1.1.3;240790;2017;2178
1.1.1.3;240800;2010;None
1.1.1.3;240800;2015;None
1.1.1.3;240800;2016;291937
1.1.1.3;240800;2017;295619
1.1.1.3;240810;2010;None
1.1.1.3;240810;2015;None
1.1.1.3;240810;2016;877662
1.1.1.3;240810;2017;885180
1.1.1.3;240820;2010;None
1.1.1.3;240820;2015;None
1.1.1.3;240820;2016;26994
1.1.1.3;240820;2017;27372
1.1.1.3;240830;2010;None
1.1.1.3;240830;2015;None
1.1.1.3;240830;2016;37547
1.1.1.3;240830;2017;37695
1.1.1.3;240840;2010;None
1.1.1.3;240840;2015;None
1.1.1.3;240840;2016;4359
1.1.1.3;240840;2017;4349
1.1.1.3;240850;2010;None
1.1.1.3;240850;2015;None
1.1.1.3;240850;2016;4877
1.1.1.3;240850;2017;4882
1.1.1.3;240860;2010;None
1.1.1.3;240860;2015;None
1.1.1.3;240860;2016;4249
